INSTCODE,ACRONYM,ECPACRONYM,FULL_NAME,TYPE,GENEBANK_LONG_TERM_COLLECTIONS,BOTANICAL_GARDEN,GENEBANK_MEDIUM_TERM_COLLECTIONS,GENEBANK_SHORT_TERM_COLLECTIONS,STREET_POB,CITY_STATE,ZIP_CODE,PHONE,FAX,EMAIL,URL,LATITUDE,LONGITUDE,ALTITUDE,UPDATED_ON,V_INSTCODE,ISO3
AGO007,,,"Faculté des Sciences, Université Agostinho Neto",Governmental,,,,,CP 815,Luanda,,,,,,null,null,null,12/12/2014,AGO007,AGO
AGO008,FAO,,Représentation de la FAO,United Nations,,,,,BP 1335,Luanda,,336859 ext. 1149,(244-2)331225,FAO-AGO@field.fao.org,,null,null,null,12/12/2014,AGO008,AGO
AGO009,UNDP,,PNUD,United Nations,,,,,Caixa Postal 910,Luanda,,,(00871)1505360-102,,,null,null,null,12/12/2014,AGO009,AGO
AGO011,IIA,,"Institut de Recherche Agronomique, Ministère de l'agriculture et du développement rural",Governmental,,,,,,Luanda,,,,,,null,null,null,12/12/2014,AGO011,AGO
AGO012,CNRF,,"Centre national des ressources phytogénétiques, Ministère de l'agriculture et du développement rural",Governmental,,,,,Prédio CNIC Av. Revolução de Outubro POB 10825(BG),Luanda,,244-2-321688/5673,,fitogen@ebonet.net,,null,null,null,12/12/2014,AGO012,AGO
AGO013,,,"Luanda Herbarium, Universidade Agostinho Neto",,,1,,,Caixa Postal 3244,Luanda,,(244) 2 336168,(244) 2 336168,,,null,null,null,12/12/2014,AGO013,AGO
ALB001,,,"Plant Breeding/Seed Production Section, Department of Agronomy, Agricultural University",Governmental,,,,,Agricultural University,Tirana,,(355-42)25506/27481,(355-42)27804/29147,,,41.2,19.49,null,12/12/2014,ALB018,ALB
ALB002,ARI,,Agricultural Research Institute,Governmental,,,,,,Lushnje,,no direct connection,,,,40.57,19.41,null,12/12/2014,ALB019,ALB
ALB003,,,Agricultural Research Station,Governmental,,,,,,Elbasan,,,,,,41.07,20.05,null,25/01/2018,,ALB
ALB004,IKUA,,Research Institute for Olive and Citrus Trees,Governmental,,,,,,Vlora,,(355)42 Vlora,,,,40.29,19.29,null,12/12/2014,ALB020,ALB
ALB005,,,Sugar Beet Station,Governmental,,,,,,Korca,,,,,,40.38,20.44,null,12/12/2014,ALB021,ALB
ALB006,MRRI,,Maize and Rice Research Institute,Governmental,,,,,,Shkodra,,,,,,42.03,19.01,null,12/12/2014,ALB022,ALB
ALB007,FRI,,"Forage Research Institute, Food and Agriculture Ministry",Governmental,,,,,,Fushe-Kruja,,(355-42)27920/28355,(355-42)27920/28355,,,41.31,19.35,null,12/12/2014,ALB023,ALB
ALB008,,,Research Institute of Fruit Trees and Vineyard,Governmental,1,,,,,Tirana,,(355-42)29704,,,,41.29,19.49,null,12/12/2014,ALB020,ALB
ALB009,UNDP,,United Nations Development Programme,United Nations,,,,,,Tirana,,,(355-42)32075/34448,,,null,null,null,12/12/2014,,ALB
ALB010,,,Vegetables and Potato Institute,Governmental,,,,,,Tirana,,(355-42)26533,,,,41.25,19.49,null,12/12/2014,,ALB
ALB011,,,Forest and Pasture Research Institute,Governmental,,,,,,Tirana,,,,,,41.15,19.49,null,18/08/2020,ALB011,ALB
ALB012,,,Tobacco Institute,Governmental,,,,,,Cerrik,,,,,,null,null,null,12/12/2014,,ALB
ALB013,MAF,,Ministry of Agriculture and Food,Governmental,,,,,,Tirana,,(355-42) 32796,(355-42) 27924,,,null,null,null,12/12/2014,ALB024,ALB
ALB014,,,Regional agriculture extension service,Governmental,0,0,0,0,,Tiranë,,,,,,null,null,null,14/10/2020,ALB014,ALB
ALB015,,,National Seed and Seedlings Institute,Governmental,,,,,Rruga Siri Kodra 132/1,Tirana,,(355-43) 62419,(355-43) 62419,,,null,null,null,18/08/2020,ALB015,ALB
ALB016,,,"Institute of Biological Research, National Environment Agency",,,,,,Rruga 'Bajram Curri' Nr. 5,Tirana,,+ 355 42 6 5229,+ 355 42 6 5229,cep@cep.tirana.al,,null,null,null,23/08/2020,ALB016,ALB
ALB017,AGB,,Albania Gene Bank,Governmental,,,,,Agricultural University of Tirana,Tirana,,3.55692E+11,,gixharibelul@yahoo.com,,null,null,null,12/12/2014,ALB026,ALB
ALB018,DAS,,Department of Agronomic Science,Governmental,0,0,0,0,Kodër Kamëz,Tiranë,1002,,,,http://www.ubt.edu.al,41.2,19.49,null,14/10/2020,ALB018,ALB
ALB019,ATTC - Lushnja,,Agriculture Technology Transfer Center Lushnja,Governmental,,,,1,,Lushnja,,,,,,40.57,19.41,null,18/08/2020,ALB019,ALB
ALB020,ATTC - Vlora,,Agriculture Technology Transfer Center Vlore,Governmental,1,,,1,,Vlora,,,,,,40.29,19.29,null,18/08/2020,ALB020,ALB
ALB021,ATTC - Korca,,Agriculture Technology Transfer Center Korce,Governmental,1,,,1,,Korca,,,,,,40.38,20.44,null,21/08/2020,ALB021,ALB
ALB022,ATTC - Shkodra,,Agriculture Technology Transfer Center Shkodra,Governmental,,,,1,,Shkodra,,,,,,42.03,19.01,null,18/08/2020,ALB022,ALB
ALB023,ATTC - Fushe Kruja,,Agriculture Technology Transfer Center Fushe Kruja,Governmental,,,,1,,Fushe-Kruja,,,,,,41.31,19.35,null,18/08/2020,ALB023,ALB
ALB024,MARD,,Ministry of Agriculture and Rural Development,Governmental,0,0,0,0,,Tirana,,,,,,null,null,null,14/10/2020,ALB024,ALB
ALB025,AUR,,Agriculture University of Tirana,Governmental,0,0,0,0,"Kodër, Kamëz, rruga Pajti Vodica 1029",Tiranë,,,,,http://www.ubt.edu.al,null,null,null,14/10/2020,ALB025,ALB
ALB026,PGRC,,Plant Genetic Resources Center,Governmental,1,,,,Rruga Siri Kodra 132/1,Tirana,,,,agb08document@gmail.com,,41.36,19.76,null,18/08/2020,ALB026,ALB
ALB027,,,Tobacco Station,Governmental,,,,,,Cerrik,,,,,,null,null,null,18/08/2020,,ALB
ALB028,test,,test,,,,,,,,,,,,,null,null,null,25/01/2018,,ALB
ALB029,ECPGR,,European Cooperative Programme for Plant Genetic Resources,International,,,,,,,,,,,http://www.ecpgr.cgiar.org/,null,null,null,19/02/2015,ITA434,ALB
ALB030,MoARDWA,,"Ministry of Agriculture, Rural Development and Water Administration",Governmental,0,0,0,0,"Skanderbeg Square, Tirana, Albania",Tirana,,,,,http://www.bujqesia.gov.al/,null,null,null,31/03/2017,ALB024,ALB
ALB031,,,"Innovation, Research and Agriculture Consultation Network.",Governmental,0,0,0,0,"Skanderbeg Square, Tirana, Albania",Tirana,,,,,http://www.agro.al/qttb,null,null,null,09/01/2018,,ALB
ALB032,ARDA,,Agriculture and Rural Development Agency,Governmental,0,0,0,0,"Tiranë, Shqipëri",Tiranë,,,,,http://www.azhbr.gov.al/,null,null,null,14/10/2020,ALB032,ALB
ALB033,,,Department of Horticulture,Governmental,0,0,0,0,Koder Kamez,"Tirana, Albania",1002,,,,http://www.ubt.edu.al,null,null,null,09/01/2018,ALB033,ALB
ALB034,NEA,,National Environment Agency,,0,0,0,0,,,,,,,http://www.akm.gov.al/kreu.html,null,null,null,14/10/2020,ALB034,ALB
ALB035,NATC,,National Agency for Tabacco and Cigarets,Governmental,0,0,0,0,"Rruga Siri Kodra, 132/1",Tirana,,,,,,null,null,null,31/01/2024,ALB035,ALB
ALB036,MTE,,Ministry of Tourism and Environment,Governmental,0,0,0,0,Skanderbeg Square 6,Tirana,1001,,,,turizmi.gov.al,null,null,null,31/01/2024,ALB036,ALB
ALB037,NAPA,,National Agency of Protected Areas,Governmental,0,0,0,0,Bulevardi Dëshmoret e Kombit 1,Tirana,1001,,,Info@akzm.gov.al,akzm.gov.al,null,null,null,31/01/2024,ALB037,ALB
ANT001,,,"Department of Agriculture, Animal Husbandry and Fisheries",Governmental,,,,,Klein Kwartier No. 33,Curacao,,,,,,null,null,null,12/12/2014,ANT001,ANT
ANT002,,,"Netherlands Antilles Natural Heritage Program, Carmabi Foundation",,,,,,P.O. Box 2090,Curacao,,624242,,,,null,null,null,12/12/2014,ANT002,ANT
ARE001,,,"Desert and Marine Environment Research Center, UAE University",Governmental,,,,,P.O. Box 17777,Al Ain,,,,,,null,null,null,12/12/2014,ARE001,ARE
ARE002,UNDP,,United Nations Development Programme,United Nations,,,,,P.O. Box 3490,Abu Dhabi,,,(009712)650818,,,null,null,null,12/12/2014,ARE002,ARE
ARE003,ICBA,,International Center for Biosaline Agriculture,International,1,0,1,0,"Al Ruwayyah 2, Academic City",Dubai,P.O. Box 14660,+971 4 3361100,+971 4 3361155,icba@biosaline.org.ae,http://www.biosaline.org,25.09,55.38,null,17/08/2020,ARE003,ARE
ARG001,UBA-FA,,"Facultad de Agronomía, Universidad de Buenos Aires",Governmental,1,,,,Avenida San Martín 4453,Buenos Aires,1417,(54-11)4521-8072,,jcamara@mail.agro.uba.ar,,-34.61,-58.47,null,12/12/2014,ARG1191,ARG
ARG002,IBONE,,"Instituto Botánico del Nordeste, Universidad Nacional de Nordeste",Governmental,1,1,,,"Sargento Cabral 2131, C.C. 209",Corrientes,3400,(54-3783)427309,(54-3783)427131,ibone@agr.unne.edu.ar,,-27.47,-58.83,null,12/12/2014,ARG1133,ARG
ARG003,INTA-EEAMJ,,"Estación Experimental Agropecuaria Marcos Juárez, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,1,"Ruta No 12, Casilla de Correo 21","Marcos Juárez, Córdoba",2580,(54-3472)425001,(54-3472)427169,bformica@correo.inta.gov.ar,,-32.41,-62.05,null,12/12/2014,ARG1210,ARG
ARG004,INTA-EEASAL,,"Estación Experimental Agropecuaria Salta, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,Casilla de Correo 228,Salta,4400,(54-387)490 2081,(54-3472)427169,agarcia@correo.inta.gov.ar,,-24.78,-65.42,null,12/12/2014,ARG1202,ARG
ARG005,INTA-EEAPER,,"Estación Experimental Agropecuaria Pergamino, Instituto Nacional de Tecnología Agropecuaria",Governmental,1,,,,Casilla de Correo No. 31,Pergamino (Buenos Aires),2700,(541477)22057-8,(541)111917,mferrer@pergamino.inta.gov.ar,https://inta.gob.ar,-33.89,-60.57,null,24/08/2020,ARG1205,ARG
ARG006,INTAMAN,,Instituto Nacional de Tecnología Agropecuaria,Governmental,,,,,Rivadavia 1439,Buenos Aires,1033,,,,,-34.61,-58.47,null,12/12/2014,,ARG
ARG007,,,"'N.I. Vavilov' Lab. de Conserv. Germoplasma, Univ. Buenos Aires",Governmental,,,,,Avda. San Martin 4453,Buenos Aires,1417,52-0903,,,,-34.5,-58.3,null,23/08/2020,,ARG
ARG008,,,Centro de Ecofisiología Vegetal de Conicet,Governmental,,,,,,Buenos Aires,,,,,,null,null,null,12/12/2014,ARG008,ARG
ARG009,INTA-EAABAL,,"Estación Experimental Agropecuaria Balcarce, Instituto Nacional de Tecnología Agropecuaria",Governmental,1,,,,C.C. 276; Ruta Nacional 226 Km 79.5,"Balcarce, Buenos Aires",7620,(54-2266) 439100,(54-2266) 439101,intaba@balcarce.inta.gov.ar,https://inta.gob.ar/crbsass/balcarce,-37.83,-58.25,null,24/08/2020,ARG1225,ARG
ARG010,INTA,,"Estación Experimental Agropecuaria San Luis, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,Casilla de Correo No. 17,Villa Mercedes (San Luis),5730,0657-22616,0657-22616,esanluis@inta.gov.ar,,-33.2,-66.23,null,12/12/2014,,ARG
ARG011,,,Universidad Nacional de Mar del Plata,,,,,,Juán Bautista Alberdi 2695,"Mar del Plata, Pca de Buenos Aires",7600,39676,023-24197,,,null,null,null,12/12/2014,ARG968,ARG
ARG012,INTA,,"Estación Experimental Agropecuaria Alto Valle de Rio Negro, Instituto Nacional de Tecnología Agropecuaria",Governmental,1,,,,Casilla de Correo 52,"General Roca, Río Negro",8332,0941/25017/25027,0941-26521,pcalvo@correo.inta.gov.ar,,-39.05,-67.53,null,12/12/2014,ARG1226,ARG
ARG013,INTA-EEALC,,"Estación Experimental Agropecuaria La Consulta, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,"Ex Ruta 40 -km 96, C.C No.8","La Consulta, Mendoza",5567,0622-70304,0622-70304,lablaconsulta@ciudad.com.ar,,-32.43,-68.51,null,12/12/2014,ARG1213,ARG
ARG014,INTA-EEABO,,"Estación Experimental Agropecuaria Bordenave, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,Casilla de Correo No. 34,"Bordenave, (Buenos Aires)",8187,0924-96015/96031,0924-96031,eborde@inta.gov.ar,,-37.8,-63.05,null,12/12/2014,ARG1224,ARG
ARG015,KLEIN,,"Ing. Agr. Dr. H. C. Enrique Klein, Criadero Klein",Private,,,,,,"Pla, Provincia de Buenos Aires",,,,,,null,null,null,12/12/2014,ARG1267,ARG
ARG016,BAMINA,,Ministerio de Agroindustria,,0,0,0,0,,"Buenos Aires, C.F.",,,,,,null,null,null,18/08/2020,ARG016,ARG
ARG017,IRB-INTA,,"Banco Base Nacional de Germoplasma, Instituto de Recursos Biológicos, Instituto Nacional de Tecnología Agropecuaria",Governmental,1,,,,Casilla de Correo No. 25,"Castelar, Prov. de Buenos Aires",1712,(54-11) 4621 1819,(54-11) 4621 6903,ysidro@cirn.inta.gov.ar,http://cirn2.inta.gov.ar,-3,-58.5,null,12/12/2014,ARG1342,ARG
ARG018,MALTHUD,,Maltería Hudson,Private,,,,,,"Hudson, Provincia de Buenos Aires",,,,,,null,null,null,12/12/2014,ARG018,ARG
ARG019,BARROW,,Criadero Barrow,Private,,,,,,"Tres Arroyos, Prov. de Buenos Aires",7500,,,,,null,null,null,12/12/2014,ARG1302,ARG
ARG020,INTA-EEACU,,"Estación Experimental Agropecuaria Concepción del Uruguay, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,1,Casilla de Correo No. 6,"Concepción del Uruguay, Entre Ríos",3260,(54-3442)425 561,(54-3442)425 578,econcep@editcom.com.ar,,-32.48,-58.23,null,05/07/2017,ARG1215,ARG
ARG021,IBONE,,Instituto Botanico del Nordeste,Governmental,,1,,,C.C. 209,Corrientes,3400,,,,,-27.3,-58.48,null,31/03/2017,ARG1133,ARG
ARG022,INTA-EEACAT,,"Estación Experimental Agropecuaria Catamarca, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,Casilla No. 25,Catamarca,4700,54-03833-441323,,ltomalino@correo.inta.gov.ar,,-28.47,-65.78,null,12/12/2014,ARG1223,ARG
ARG023,EEA INTA Valle Inferior,,Estación Experimental Agropecuaria Valle Inferior del Río Negro,Governmental,,,,,"C.C. 353, Belgrano 536-40","Viedma, Prov. Río Negro",8500,(54-2920) 423474,(54-2920) 423474,deberasa@correo.inta.gov.ar,https://inta.gob.ar/valleinferior,-40.8,-6,null,25/08/2020,ARG023,ARG
ARG024,CFFCA,,"Catedra de Fruticultura, Facultad de Ciencias Agrarias, Universidad Nacional de Cuyo",Governmental,,,,,Casilla de Correos 7,Chacras De Coria - Mendoza,5505,,,carjona@fca.uncu.edu.ar,http://www.fca.uncu.edu.ar/,-32.48,-68.51,null,24/08/2020,ARG024,ARG
ARG025,INTA-EEAJU,,"Estación Experimental Agropecuaria Junín, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,Casilla de Correos 78,"Gral. San Martín, Mendoza",5570,,,ejunin@correo.inta.gov.ar,,-32.53,-68.51,null,12/12/2014,ARG1214,ARG
ARG026,INTA-EEAELCO,,"Estación Experimental Agropecuaria El Colorado, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,Casilla de Correo No. 5,"El Colorado, Formosa",3603,(54-3717)480 004/005,(54-3717)480 004/005,elcolo@correo.inta.gov.ar,,-26.3,-59.37,null,12/12/2014,ARG1218,ARG
ARG027,INTA-EEASAPE,,"Estación Experimental Agropecuaria San Pedro, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,1,,Casilla de Correo No. 43,San Pedro (Buenos Aires),2930,(54-3329)425 075,(54-3329)425 075,esanpe@inta.gov.ar,,-33.67,-59.68,null,12/12/2014,ARG1199,ARG
ARG028,INTA-EEACONC,,"Estación Experimental Agropecuaria de Concordia, Instituto Nacional de Tecnología Agropecuaria",Governmental,1,,,,Casilla de Correo No. 34,Concordia (Entre Ríos),3200,(54-3454)-290000,(54-3454)-290215,anderson@concordia.com.ar,,-31.4,-58.03,null,12/12/2014,ARG1219,ARG
ARG029,EEA INTA Bella Vista,,Estación Experimental Agropecuaria Bella Vista,Governmental,,,,,C.C. 6,Bella Vista,3432,5477751923,5477751687,,https://inta.gob.ar/bellavista,null,null,null,25/08/2020,ARG029,ARG
ARG030,INTA-EEASC,,"Estación Experimental Agropecuaria San Carlos de Bariloche, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,Casilla de Correo No. 277,S.C.de Bariloche (Río Negro),8400,0944-24990/22731,0944-24991,cgiraudo@bariloche.inta.gov.ar,,null,null,null,12/12/2014,ARG1201,ARG
ARG031,INTA-EEAMERC,,"Estación Experimental Agropecuaria Mercedes, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,Casilla de Correo No. 38,Mercedes (Corrientes),3470,0773-21115/20392,0773-21115,emerced@inta.gov.ar,,-29.15,-58.05,null,12/12/2014,ARG1209,ARG
ARG032,INTA-EEAOC,,Estación Experimental Agro-Industrial Obispo Colombres,Governmental,,,,,Casilla de Correo No. 9,"Las Talitas, Tucumán",4101,081-26-6475/6561,,fruticultura@eeaoc.org.ar,,-26.48,-65.12,null,12/12/2014,ARG1228,ARG
ARG033,INTA,,INTA Station,Governmental,,,,,,La Banda,,,,,,null,null,null,31/03/2017,,ARG
ARG034,INTA-EEARAF,,"Estación Experimental Agropecuaria Rafaela, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,Casilla de Correo No. 22,Rafaela (Santa Fé),2300,0492-20748/21018,0492-25006,,,null,null,null,12/12/2014,ARG1204,ARG
ARG035,INTA-EEAPRSP,,"Estación Experimental Agropecuaria Presidencia Roque Sáenz Peña, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,Casilla de Correo No. 164,Pcia. Roque Sáenz Peña (Chaco),3700,0714-20234,0714-21473,oroyo@chaco.inta.gov.ar,,-26.78,-60.45,null,12/12/2014,ARG1203,ARG
ARG036,EEA INTA Rama Caída,,Estación Experimental Agropecuaria Rama Caída,Governmental,,,,,C.C. 79,San Rafael (Mendoza),5603,,,,https://inta.gob.ar/ramacaida,null,null,null,25/08/2020,ARG036,ARG
ARG037,INTA-EESTAC,,"Estación Experimental Agropecuaria Santa Cruz, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,Errazuriz 280 Casilla de Correo 332,Río Gallegos (Santa Cruz),9400,(54-2966) 422361,(54-2966) 422552,mermasco@correo.inta.gov.ar,,-51.63,-69.22,null,12/12/2014,ARG1115,ARG
ARG038,INTA-EEACA,,"Estación Experimental Agropecuaria Misiones, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,,C.C. 6,Cerro Azul (Misiones),3313,(54-3752) 4422787,(54-3752) 494086,mrmayol@cerro.inta.gov.ar,,-27.63,-55.48,null,12/12/2014,ARG1222,ARG
ARG039,INTA-EEAANGU,,Estación Experimental Agropecuaria Anguil,Governmental,0,0,0,0,C.C. 11,"Anguil, Provincia La Pampa",6326,(54-02954) 495057,(54-02954) 495057,jtraverso@anguil.inta.gov.ar,,-36.5,-63.98,null,18/08/2020,ARG1227,ARG
ARG040,FCE-UNS,,"Facultad de Ciencias Exactas, Universidad Nacional de Salta",Governmental,,,,,Buenos Aires 877,Salta,4400,,,,,null,null,null,12/12/2014,ARG040,ARG
ARG041,SENASE,,"Servicio Nacional de Semillas, Departamento de Evaluación y Eficiencia",Governmental,,,,,"Paseo Colón 922, 3er Piso-of. 304",Buenos Aires,1063,,,,,null,null,null,12/12/2014,ARG041,ARG
ARG042,INTA-EEALEAL,,Estación Experimental Agrícola Leales,Governmental,,,,,,"Leales, Tucumán",4113,,,,,null,null,null,12/12/2014,ARG1317,ARG
ARG043,,,Instituto Agrario,Governmental,,,,,C.C. 14,Mendoza,5500,,,,,null,null,null,12/12/2014,ARG043,ARG
ARG044,INTA-EEAMANF,,"Estación Experimental Agropecuaria Manfredi, Instituto Nacional de Tecnología Agropecuaria",Governmental,,,,1,,Manfredi (Córdoba),5988,(54-3572) 493 053,(54-3572) 493 061,egiandana@correo.inta.gov.ar,,-31.83,-63.75,null,12/12/2014,ARG1211,ARG
ARG045,FA-UNS,,"Facultad de Agronomía, Universidad Nacional Salta",Governmental,,,,,Balcarce 388,Salta,4400,,,,,null,null,null,12/12/2014,ARG045,ARG
ARG046,FCEFN-UNC,,"Facultad de Ciencias Exactas, Físicas y Naturales, Universidad Nacional de Cordoba",Governmental,,,,,Avda. Velez Sarsfield 299,Córdoba,5000,,,,,null,null,null,12/12/2014,ARG1180,ARG
ARG047,INTA,,Estacion Experimental de Missiones,Governmental,,,,,C.C. 101,"Leandro N.Alem, Missiones",3315,,,,,null,null,null,31/03/2017,ARG1222,ARG
ARG049,,,Museo Provincial de Ciencias Naturales 'Florentino Ameghino',Governmental,,,,,"Primera Junta 2859, C.C. 555",Santa Fé,3000,(042)23843,,,,null,null,null,03/04/2019,ARG049,ARG
ARG050,INTA,,Banco de Germoplasma de Soja,Governmental,,,,,C.C. 228,Buenos Aires,1033,,,,,null,null,null,12/12/2014,ARG1345,ARG
ARG052,CNICT,,Consejo Nacional de Investigaciones Científicas y Técnicas,Governmental,,,,,Rivadavia 1917,Buenos Aires,1033,463609,,,,null,null,null,12/12/2014,ARG930,ARG
ARG053,,,"División de Explotación e Introducción de Plantas, Dirección General de Sanidad Vegetal y Fisc.",Governmental,,,,,,Buenos Aires,1000,,,,,null,null,null,12/12/2014,ARG053,ARG
ARG054,INTA-EEASJ,,Estación Experimental Regional Agropecuaria San Juan,Governmental,,,,,,Villa Aberastain - Pocito,,,,,,null,null,null,12/12/2014,ARG1200,ARG
ARG055,,,"Secretaría de Investigación Científica, Universidad Nacional de Lomas de Zamora",Governmental,,,,,C.C. 95,Lomas de Zamora,1832,,,,,null,null,null,12/12/2014,ARG055,ARG
ARG056,INTA,,Centro de Investigación en Ciencias Veterinarias,Governmental,,,,,C.C. 77,Morón - Buenos Aires,,,,,,null,null,null,12/12/2014,ARG1308,ARG
ARG057,,,,,,,,,Estanislao del Campo 152,"Acasuso, Prov. de Buenos Aires",1640,,,,,null,null,null,12/12/2014,,ARG
ARG058,FUNAM,,FUNAM,,,,,,C.C 83 - Correo Cent,Cordoba,5000,,,,,null,null,null,31/03/2017,ARG110,ARG
ARG059,,,Promundo International,Non-Governmental,,,,,Casilla 60 Suc. 14,Buenos Aires,1414,,,,,null,null,null,12/12/2014,ARG059,ARG
ARG060,,,Fundación Tierralerta,Non-Governmental,,,,,Tucumán 1711 3/C,Buenos Aires,1050,,,,,null,null,null,12/12/2014,ARG060,ARG
ARG061,,,Taller Ecologista,Non-Governmental,,,,,Casilla de Correo 56 - Suc 8,Rosario,2000,,,,,null,null,null,12/12/2014,ARG061,ARG
ARG062,,,Grupo La Cabaña,Non-Governmental,,,,,Agrelo 1320,Rosario - Santa Fé,2000,,,,,null,null,null,12/12/2014,ARG062,ARG
ARG063,,,Genesis,Non-Governmental,,,,,Bvd. Rondeau 2355,Rosario - Santa Fé,2000,,,,,null,null,null,12/12/2014,ARG063,ARG
ARG064,,,Agrupación Venado,Non-Governmental,,,,,C.C. 270,Tandil (BA),7000,,,,,null,null,null,12/12/2014,ARG064,ARG
ARG065,,,Grupo Ecológico Chaco,Non-Governmental,,,,,C.C. 667,Resistencia - Chaco,3500,,,,,null,null,null,12/12/2014,ARG065,ARG
ARG066,,,Auca - Mapu,Non-Governmental,,,,,"Monobl. 28, Apt.167, 630 Viviendas",Puerto Madryn - Chubut,9120,,,,,null,null,null,12/12/2014,ARG066,ARG
ARG067,FA-UNP,,"Facultad de Ciencias Agrarias y Forestales, Universidad Nacional de la Plata",Governmental,,,,,Avda 60 y 119,La Plata,1900,(221) 423-6758,(221) 425-2346,,http://www.agro.unlp.edu.ar/,null,null,null,12/12/2014,ARG1183,ARG
ARG068,,,"División de Plantas Vasculares, Museo de la Plata",,,,,,,La Plata,1900,,,,,null,null,null,12/12/2014,ARG068,ARG
ARG069,,,"Museo Botánico, Universidad Nacional de Córdoba",Governmental,,1,,,Casilla de Correo 495,Córdoba,5000,,,,,null,null,null,12/12/2014,ARG069,ARG
ARG070,,,,,,,,,Callao 2075,Buenos Aires,1024,443054,,,,null,null,null,12/12/2014,,ARG
ARG071,,,"Laboratorio de Análisis de Semillas, Secretaría de Agricultura y Ganadería",Governmental,,,,,"Paseo Colón 922, Piso 4",Buenos Aires,1305,,,,,null,null,null,12/12/2014,ARG071,ARG
ARG072,,,"Departamento de Ciencias Agrarias, Universidad Nacional del Sur",Governmental,,,,,Altos del Palihue,Bahía Blanca,8000,,,,,null,null,null,12/12/2014,ARG1246,ARG
ARG073,,,Criadero de Cereales A.C.A.,Private,,,,,Estomba 456,Bahía Blanca,8000,,,,,null,null,null,12/12/2014,ARG073,ARG
ARG074,DCB-UBA,,"Departamento de Ciencias Biológica, Universidad de Buenos Aires",Governmental,,,,,Ciudad Univer. II Pabellón,Buenos Aires,1428,,,,,null,null,null,12/12/2014,ARG074,ARG
